"t"	"thtlc"	"el"	"ail"	"rdr"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
0.000000000000000e+00	0.000000000000000e+00	-1.821096614652211e-02	0.000000000000000e+00	0.000000000000000e+00	5.400000000000000e+02	3.702716008105970e-02	0.000000000000000e+00	7.853981633974483e-01	-1.256637061435917e+00	-7.853981633974483e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.600000000000000e+03	9.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000000000000e-02	0.000000000000000e+00	-1.934642058902010e-02	-8.586026751871518e-05	5.834124416036807e-05	5.403063531141430e+02	3.637361331483482e-02	1.298764035080292e-04	7.854131204626299e-01	-1.256641962468446e+00	-7.854138995106511e-01	-2.586707725695259e-06	-1.355517981929667e-03	8.130469808848398e-06	9.861345978525138e-01	-1.183991055867286e+00	3.594822911043424e+03	8.910448503725702e+00	2.053793503073827e-03	-8.943313833412211e-09	5.188012693074953e-07
2.000000000000000e-02	0.000000000000000e+00	-2.046917407523077e-02	-1.711880585453813e-04	1.245524695358447e-04	5.406124845090227e+02	3.571759610712696e-02	2.590544651256743e-04	7.854555461319956e-01	-1.256656031120893e+00	-7.854585683195022e-01	-9.391207979132497e-06	-2.561532234408958e-03	3.221570719928857e-05	1.976252705279945e+00	-2.367912651895076e+00	3.589643370994583e+03	8.821788059698470e+00	4.016575105596442e-03	-6.655182827047554e-08	2.115741841317811e-06
3.000000000000000e-02	0.000000000000000e+00	-2.157705482795257e-02	-2.555793234284896e-04	1.983945676835807e-04	5.409183891618745e+02	3.506033880181317e-02	3.873840154692611e-04	7.855218625026512e-01	-1.256678335543181e+00	-7.855284446416740e-01	-1.916307980820304e-05	-3.622416838485046e-03	7.178246512468922e-05	2.970303018577138e+00	-3.551766677133473e+00	3.584461375195466e+03	8.734009801930402e+00	5.890079271150152e-03	-2.089652061869530e-07	4.846564481329903e-06
4.000000000000000e-02	0.000000000000000e+00	-2.266805727999813e-02	-3.386746651491311e-04	2.796260756276183e-04	5.412240619735121e+02	3.440301824370549e-02	5.147206862804871e-04	7.856086184073997e-01	-1.256707974578001e+00	-7.856199287423303e-01	-3.082877328398349e-05	-4.542637643138253e-03	1.263440619467519e-04	3.968235577148454e+00	-4.735554951999703e+00	3.579276919184220e+03	8.647104950876461e+00	7.676084822261475e-03	-4.652602802302213e-07	8.760950903109740e-06
5.000000000000000e-02	0.000000000000000e+00	-2.374035276807009e-02	-4.201545071752841e-04	3.680012971963218e-04	5.415294977756827e+02	3.374675928277274e-02	6.409257639957160e-04	7.857124841857364e-01	-1.256744075738074e+00	-7.857295381313323e-01	-4.351410591971652e-05	-5.326791869566264e-03	1.953982775677746e-04	4.970001676438486e+00	-5.919279247664350e+00	3.574089998680070e+03	8.561064814653619e+00	9.376424764918670e-03	-8.548639813471346e-07	1.390229552144397e-05
6.000000000000000e-02	0.000000000000000e+00	-2.479232809992648e-02	-4.997245058147827e-04	4.632638231644008e-04	5.418346913317308e+02	3.309264137101173e-02	7.658656062748321e-04	7.858302320285256e-01	-1.256785786601980e+00	-7.858538761891130e-01	-5.664249825266580e-05	-5.979758710203385e-03	2.784191028751137e-04	5.975553519336545e+00	-7.102941353457783e+00	3.568900609519278e+03	8.475880793378233e+00	1.099302319781165e-02	-1.377392451631181e-06	2.030676152561958e-05
7.000000000000001e-02	0.000000000000000e+00	-2.582250779986262e-02	-5.771291045020589e-04	5.651570463352958e-04	5.421396375240608e+02	3.244168989371750e-02	8.894124705693863e-04	7.859587593251096e-01	-1.256832288376876e+00	-7.859896769046567e-01	-6.972292921819990e-05	-6.506433554644855e-03	3.748738938253974e-04	6.984844760468758e+00	-8.286542975978792e+00	3.563708747771059e+03	8.391544370282359e+00	1.252783246996770e-02	-2.031545020389272e-06	2.800556196653551e-05
8.000000000000000e-02	0.000000000000000e+00	-2.682955013300865e-02	-6.521523061330530e-04	6.734247124673882e-04	5.424443313626573e+02	3.179487569428645e-02	1.011444558823014e-03	7.860950899589467e-01	-1.256882796619384e+00	-7.861338072808532e-01	-8.233911713428973e-05	-6.911714144207135e-03	4.842242479174966e-04	7.997830535112575e+00	-9.470085733726684e+00	3.558514409743625e+03	8.308047111260557e+00	1.398282989178637e-02	-2.816081791785261e-06	3.702507463043877e-05
9.000000000000000e-02	0.000000000000000e+00	-2.781224710532946e-02	-7.246176730652100e-04	7.878109202739999e-04	5.427487679850848e+02	3.115311507421636e-02	1.131846017471432e-03	7.862363743076121e-01	-1.256936561235585e+00	-7.862832673344976e-01	-9.414951970150831e-05	-7.200500571927901e-03	6.059260041925232e-04	9.014467459196773e+00	-1.065357115710129e+01	3.553317591984181e+03	8.225380664869888e+00	1.536001773503941e-02	-3.729823644839924e-06	4.738684203892431e-05
1.000000000000000e-01	0.000000000000000e+00	-2.876952446362467e-02	-7.943883271174842e-04	9.080601214233936e-04	5.430529426564883e+02	3.051726979310642e-02	1.250506937442446e-03	7.863798892427974e-01	-1.256992866481018e+00	-7.864351900962906e-01	-1.048873340030310e-04	-7.377695282566044e-03	7.394292432338324e-04	1.003471362930146e+01	-1.183700068840296e+01	3.548118291278925e+03	8.143536762329916e+00	1.666142323287084e-02	-4.771652233430989e-06	5.910757144893524e-05
1.100000000000000e-01	0.000000000000000e+00	-2.970043789421042e-02	-8.613569412223357e-04	1.033915708815981e-03	5.433568507927434e+02	2.988814951792512e-02	1.367323234237478e-03	7.865230350183599e-01	-1.257051029249876e+00	-7.865868358460547e-01	-1.143695274679185e-04	-7.448206719305113e-03	8.841788458755001e-04	1.105852856827563e+01	-1.302037569497452e+01	3.542916504646015e+03	8.062507217000549e+00	1.788909720464347e-02	-5.938130049614308e-06	7.219926969209281e-05
1.200000000000000e-01	0.000000000000000e+00	-3.060418390688369e-02	-9.254046024583072e-04	1.165111768169799e-03	5.436604880945313e+02	2.926652361461433e-02	1.482195922608746e-03	7.866633102388592e-01	-1.257110388081969e+00	-7.867355543520993e-01	-1.225478438408262e-04	-7.417056040235035e-03	1.039612059700932e-03	1.208587283064454e+01	-1.420369756358934e+01	3.537712229277863e+03	7.982283925349526e+00	1.904513571071180e-02	-7.212566044331736e-06	8.666937768876234e-05
1.300000000000000e-01	0.000000000000000e+00	-3.148011791304504e-02	-9.864678316472602e-04	1.301383499384092e-03	5.439638504564927e+02	2.865310555898843e-02	1.595031891252244e-03	7.867983287702880e-01	-1.257170314171179e+00	-7.868788224968191e-01	-1.294108285710329e-04	-7.289342494518883e-03	1.205156691498658e-03	1.311670836208514e+01	-1.538696761219238e+01	3.532505462591765e+03	7.902858869464894e+00	2.013168870728749e-02	-8.583880747615048e-06	1.025203109780437e-04
1.400000000000000e-01	0.000000000000000e+00	-3.232768873043487e-02	-1.044502444128480e-03	1.442467133636620e-03	5.442669340369778e+02	2.804855948383283e-02	1.705743846624096e-03	7.869258263294090e-01	-1.257230211639022e+00	-7.870142468759738e-01	-1.349614434794845e-04	-7.070090151471579e-03	1.380242873722803e-03	1.415099859379676e+01	-1.657018706761172e+01	3.527296202257070e+03	7.824224108991172e+00	2.115090759128837e-02	-1.004242378103455e-05	1.197510370084334e-04
1.500000000000000e-01	0.000000000000000e+00	-3.314643292672587e-02	-1.099476590800601e-03	1.588099239301110e-03	5.445697352721938e+02	2.745350172853109e-02	1.814250252910607e-03	7.870436594693341e-01	-1.257289516744223e+00	-7.871395612278135e-01	-1.392206575768494e-04	-6.764240514877565e-03	1.564304011017881e-03	1.518870842240798e+01	-1.775335707046953e+01	3.522084446193416e+03	7.746371780408446e+00	2.210494137261471e-02	-1.157853608088730e-05	1.383572273842413e-04
1.600000000000000e-01	0.000000000000000e+00	-3.393597481952308e-02	-1.151370758121603e-03	1.738016721947258e-03	5.448722508762058e+02	2.686850083906503e-02	1.920475332028263e-03	7.871498055795242e-01	-1.257347697882709e+00	-7.872526264330787e-01	-1.422274470635191e-04	-6.376652522990802e-03	1.756776780218804e-03	1.622980420997661e+01	-1.893647867518216e+01	3.516870192570728e+03	7.669294097032376e+00	2.299593667414929e-02	-1.318254989819720e-05	1.583312578655912e-04
1.700000000000000e-01	0.000000000000000e+00	-3.469602647636385e-02	-1.200177768108811e-03	1.891956824340731e-03	5.451744778409357e+02	2.629407756801462e-02	2.024349063623729e-03	7.872423628857895e-01	-1.257404255587613e+00	-7.873514305149998e-01	-1.440387953296076e-04	-5.912102548534776e-03	1.957101130350875e-03	1.727425378398976e+01	-2.011955284996003e+01	3.511653439809222e+03	7.592983349014188e+00	2.382603773175738e-02	-1.484478879871489e-05	1.796622083684203e-04
1.800000000000000e-01	0.000000000000000e+00	-3.542638707789712e-02	-1.245902781238873e-03	2.049657170778750e-03	5.454764134359962e+02	2.573070515289027e-02	2.125807165755190e-03	7.873195500672542e-01	-1.257458722347940e+00	-7.874340880762412e-01	-1.447317177721392e-04	-5.375284228126127e-03	2.164720322503748e-03	1.832202643151121e+01	-2.130258047775247e+01	3.506434186578459e+03	7.517431903243170e+00	2.459738607226457e-02	-1.655541680992742e-05	2.023358666763591e-04
1.900000000000000e-01	0.000000000000000e+00	-3.612693439990722e-02	-1.288568241019637e-03	2.210857152266557e-03	5.457780552150833e+02	2.517881964286083e-02	2.224790334664951e-03	7.873796858180098e-01	-1.257510654098221e+00	-7.874988152725655e-01	-1.444583765008600e-04	-4.770849894259760e-03	2.379080329868316e-03	1.937309261420405e+01	-2.248556240721682e+01	3.501212431749707e+03	7.442632201479813e+00	2.531212448738520e-02	-1.830116112538752e-05	2.263348162163475e-04
2.000000000000000e-01	0.000000000000000e+00	-3.679767894241669e-02	-1.328218695579915e-03	2.375295396093675e-03	5.460794010459773e+02	2.463880587488161e-02	2.321245174035679e-03	7.874211972172417e-01	-1.257559636431595e+00	-7.875439527506954e-01	-1.432789105247774e-04	-4.103490955541775e-03	2.599625770105135e-03	2.042742416653955e+01	-2.366849942428274e+01	3.495988174424690e+03	7.368576767657843e+00	2.597243817671792e-02	-2.007871849525471e-05	2.516385375473092e-04
